Total: 7122 samples
    1745  24.5%  24.5%     2239  31.4% _finish_physics
    1460  20.5%  45.0%     2291  32.2% _max_allowed_distance_array
    1033  14.5%  59.5%     1133  15.9% _run_lighting
     470   6.6%  66.1%      470   6.6% 0x0000000193d98cac
     441   6.2%  72.3%      665   9.3% _check_hit_array
     416   5.8%  78.1%      416   5.8% _bb_intersection
     260   3.7%  81.8%      260   3.7% _log_msg
     179   2.5%  84.3%      179   2.5% 0x0000000193d96f54
     165   2.3%  86.6%      581   8.2% _bb_distance
      92   1.3%  87.9%       92   1.3% _CheckCollisionBoxes
      73   1.0%  88.9%       73   1.0% _Vector3Distance
      67   0.9%  89.9%     2358  33.1% _max_allowed_distance
      55   0.8%  90.6%       62   0.9% _store_locations
      52   0.7%  91.4%       52   0.7% _Vector3Add
      30   0.4%  91.8%       30   0.4% 0x0000000193e0eae4
      28   0.4%  92.2%       28   0.4% 0x0000000193d96dec
      24   0.3%  92.5%       24   0.3% 0x0000000193da4d9c
      24   0.3%  92.9%      701   9.8% _check_hit
      17   0.2%  93.1%       17   0.2% 0x0000000193d98d80
      13   0.2%  93.3%       13   0.2% 0x0000000193dd30e8
      12   0.2%  93.5%       12   0.2% _Int3_equals
      11   0.2%  93.6%       11   0.2% 00000001f0d99c4c
      11   0.2%  93.8%       11   0.2% 0x0000000193e0e740
      10   0.1%  93.9%       10   0.1% 00000001f0d4a518
      10   0.1%  94.0%       10   0.1% 0x00000001978c694c
       8   0.1%  94.2%        8   0.1% 0x00000001f0fa25d0
       7   0.1%  94.3%        7   0.1% 0x000000019ec79ec8
       7   0.1%  94.4%     1677  23.5% _run_drawing
       6   0.1%  94.4%        6   0.1% 0x0000000193dda6fc
       5   0.1%  94.5%        5   0.1% 00000001f0d99cbc
       5   0.1%  94.6%        5   0.1% 0x0000000193e118b8
       5   0.1%  94.7%        5   0.1% 0x0000000193e118d4
       5   0.1%  94.7%        5   0.1% 0x00000001f0f344fc
       5   0.1%  94.8%        5   0.1% _get_transform_comp
       5   0.1%  94.9%        8   0.1% _max_allowed_distance_array_box
       5   0.1%  94.9%     3128  43.9% _tick
       4   0.1%  95.0%        4   0.1% 00000001f0d9573c
       4   0.1%  95.0%        4   0.1% 00000001f0d99c9c
       4   0.1%  95.1%        4   0.1% _location_to_int3
       4   0.1%  95.2%        4   0.1% _rlSetUniform
       3   0.0%  95.2%        3   0.0% 0000000193a09834
       3   0.0%  95.2%        3   0.0% 0000000193a09840
       3   0.0%  95.3%        3   0.0% 0x000000011490fd08
       3   0.0%  95.3%        3   0.0% 0x0000000114914920
       3   0.0%  95.4%        3   0.0% 0x000000011494cae0
       3   0.0%  95.4%        3   0.0% 0x0000000193d96e34
       3   0.0%  95.5%        3   0.0% 0x0000000193dd98a8
       3   0.0%  95.5%        3   0.0% 0x0000000193e118c4
       3   0.0%  95.5%        3   0.0% 0x00000001f0e3e33c
       3   0.0%  95.6%        3   0.0% 0x00000001f0f34824
       3   0.0%  95.6%        3   0.0% 0x00000001f0fa2668
       3   0.0%  95.7%      238   3.3% _DrawModelEx
       3   0.0%  95.7%        3   0.0% _u32_slice_contains
       2   0.0%  95.7%        2   0.0% 0000000193be3a58
       2   0.0%  95.8%        2   0.0% 0000000193be3bcc
       2   0.0%  95.8%        2   0.0% 00000001f0d88be0
       2   0.0%  95.8%        2   0.0% 00000001f0d956f0
       2   0.0%  95.8%        2   0.0% 00000001f0d95730
       2   0.0%  95.9%        2   0.0% 00000001f0d98ce8
       2   0.0%  95.9%        2   0.0% 00000001f0d99c94
       2   0.0%  95.9%        2   0.0% 00000001f0d99d2c
       2   0.0%  96.0%        2   0.0% 0x000000011490b1ec
       2   0.0%  96.0%        2   0.0% 0x000000011490fd28
       2   0.0%  96.0%        2   0.0% 0x0000000114936df4
       2   0.0%  96.0%        2   0.0% 0x000000011494a318
       2   0.0%  96.1%        2   0.0% 0x0000000193d9796c
       2   0.0%  96.1%        2   0.0% 0x0000000193d99b90
       2   0.0%  96.1%        2   0.0% 0x0000000193e0bfd0
       2   0.0%  96.2%        2   0.0% 0x0000000193e0c2b0
       2   0.0%  96.2%        2   0.0% 0x0000000193e0c2c0
       2   0.0%  96.2%        2   0.0% 0x0000000193e0c5d0
       2   0.0%  96.2%        2   0.0% 0x0000000193e0c628
       2   0.0%  96.3%        2   0.0% 0x0000000193e0e7ec
       2   0.0%  96.3%        2   0.0% 0x0000000193e0ea88
       2   0.0%  96.3%        2   0.0% 0x0000000193e0eaec
       2   0.0%  96.3%        2   0.0% 0x0000000193e0eaf0
       2   0.0%  96.4%        2   0.0% 0x0000000193e11968
       2   0.0%  96.4%        2   0.0% 0x000000019ec79eb8
       2   0.0%  96.4%        2   0.0% 0x000000019ec79ee4
       2   0.0%  96.5%        2   0.0% 0x000000019ed1b5c4
       2   0.0%  96.5%        2   0.0% 0x000000019eee8a30
       2   0.0%  96.5%        2   0.0% 0x00000001f0e3e34c
       2   0.0%  96.5%        2   0.0% 0x00000001f0e5def4
       2   0.0%  96.6%        2   0.0% 0x00000001f0f07cd0
       2   0.0%  96.6%        2   0.0% 0x00000001f0f11ea4
       2   0.0%  96.6%        2   0.0% 0x00000001f0f33ec0
       2   0.0%  96.7%        2   0.0% 0x00000001f0f33ee0
       2   0.0%  96.7%        2   0.0% 0x00000001f0f3406c
       2   0.0%  96.7%        2   0.0% 0x00000001f0f346d8
       2   0.0%  96.7%        2   0.0% 0x00000001f0f34770
       2   0.0%  96.8%        2   0.0% 0x00000001f0f3480c
       2   0.0%  96.8%        2   0.0% 0x00000001f0f34818
       2   0.0%  96.8%        2   0.0% 0x00000001f0f3481c
       2   0.0%  96.9%        2   0.0% _QuaternionToMatrix
       1   0.0%  96.9%        1   0.0% 0000000193a07b90
       1   0.0%  96.9%        1   0.0% 0000000193a09800
       1   0.0%  96.9%        1   0.0% 0000000193a0982c
       1   0.0%  96.9%        1   0.0% 0000000193a0983c
       1   0.0%  96.9%        1   0.0% 0000000193a0984c
       1   0.0%  96.9%        1   0.0% 0000000193a3f464
       1   0.0%  97.0%        1   0.0% 0000000193ad6bd8
       1   0.0%  97.0%        1   0.0% 0000000193be34e4
       1   0.0%  97.0%        1   0.0% 0000000193be3500
       1   0.0%  97.0%        1   0.0% 0000000193be3678
       1   0.0%  97.0%        1   0.0% 0000000193be3700
       1   0.0%  97.0%        1   0.0% 0000000193be63c4
       1   0.0%  97.0%        1   0.0% 0000000193be6ce4
       1   0.0%  97.1%        1   0.0% 0000000193c709fc
       1   0.0%  97.1%        1   0.0% 00000001f0d4a4f4
       1   0.0%  97.1%        1   0.0% 00000001f0d4a564
       1   0.0%  97.1%        1   0.0% 00000001f0d4bb40
       1   0.0%  97.1%        1   0.0% 00000001f0d4bb60
       1   0.0%  97.1%        1   0.0% 00000001f0d4bb9c
       1   0.0%  97.1%        1   0.0% 00000001f0d4bbc4
       1   0.0%  97.1%        1   0.0% 00000001f0d87ad0
       1   0.0%  97.2%        1   0.0% 00000001f0d87aec
       1   0.0%  97.2%        1   0.0% 00000001f0d87b28
       1   0.0%  97.2%        1   0.0% 00000001f0d88a18
       1   0.0%  97.2%        1   0.0% 00000001f0d88cd0
       1   0.0%  97.2%        1   0.0% 00000001f0d88cf8
       1   0.0%  97.2%        1   0.0% 00000001f0d88d44
       1   0.0%  97.2%        1   0.0% 00000001f0d95754
       1   0.0%  97.3%        1   0.0% 00000001f0d95780
       1   0.0%  97.3%        1   0.0% 00000001f0d95884
       1   0.0%  97.3%        1   0.0% 00000001f0d9589c
       1   0.0%  97.3%        1   0.0% 00000001f0d983ac
       1   0.0%  97.3%        1   0.0% 00000001f0d983b8
       1   0.0%  97.3%        1   0.0% 00000001f0d988c8
       1   0.0%  97.3%        1   0.0% 00000001f0d98e80
       1   0.0%  97.4%        1   0.0% 00000001f0d99c8c
       1   0.0%  97.4%        1   0.0% 00000001f0d99ca4
       1   0.0%  97.4%        1   0.0% 00000001f0d99cc8
       1   0.0%  97.4%        1   0.0% 00000001f0d99d20
       1   0.0%  97.4%        1   0.0% 00000001f0d99d40
       1   0.0%  97.4%        1   0.0% 00000001f0d99d4c
       1   0.0%  97.4%        1   0.0% 00000001f0d99dd4
       1   0.0%  97.5%        1   0.0% 00000001f0d99e04
       1   0.0%  97.5%        1   0.0% 00000001f0d99e14
       1   0.0%  97.5%        1   0.0% 00000001f0d99f44
       1   0.0%  97.5%        1   0.0% 00000001f0d99f6c
       1   0.0%  97.5%        1   0.0% 00000001f0e325b4
       1   0.0%  97.5%        1   0.0% 00000001f0e3275c
       1   0.0%  97.5%        1   0.0% 00000001f0e3293c
       1   0.0%  97.6%        1   0.0% 0x000000011490b140
       1   0.0%  97.6%        1   0.0% 0x000000011490b198
       1   0.0%  97.6%        1   0.0% 0x000000011490ea54
       1   0.0%  97.6%        1   0.0% 0x000000011490ecb4
       1   0.0%  97.6%        1   0.0% 0x000000011490edcc
       1   0.0%  97.6%        1   0.0% 0x000000011490fd1c
       1   0.0%  97.6%        1   0.0% 0x0000000114914408
       1   0.0%  97.7%        1   0.0% 0x0000000114914884
       1   0.0%  97.7%        1   0.0% 0x00000001149148ec
       1   0.0%  97.7%        1   0.0% 0x0000000114925750
       1   0.0%  97.7%        1   0.0% 0x00000001149263dc
       1   0.0%  97.7%        1   0.0% 0x0000000114926600
       1   0.0%  97.7%        1   0.0% 0x0000000114926848
       1   0.0%  97.7%        1   0.0% 0x0000000114926ec0
       1   0.0%  97.8%        1   0.0% 0x0000000114926f40
       1   0.0%  97.8%        1   0.0% 0x000000011492759c
       1   0.0%  97.8%        1   0.0% 0x00000001149275b4
       1   0.0%  97.8%        1   0.0% 0x0000000114927624
       1   0.0%  97.8%        1   0.0% 0x0000000114927658
       1   0.0%  97.8%        1   0.0% 0x00000001149276c8
       1   0.0%  97.8%        1   0.0% 0x000000011492b100
       1   0.0%  97.9%        1   0.0% 0x000000011492b8b8
       1   0.0%  97.9%        1   0.0% 0x000000011493a9d4
       1   0.0%  97.9%        1   0.0% 0x000000011493ac58
       1   0.0%  97.9%        1   0.0% 0x000000011493bca0
       1   0.0%  97.9%        1   0.0% 0x00000001149487fc
       1   0.0%  97.9%        1   0.0% 0x0000000114948898
       1   0.0%  97.9%        1   0.0% 0x0000000114948ff0
       1   0.0%  98.0%        1   0.0% 0x0000000114949600
       1   0.0%  98.0%        1   0.0% 0x00000001149499b8
       1   0.0%  98.0%        1   0.0% 0x000000011494a244
       1   0.0%  98.0%        1   0.0% 0x000000011494ae8c
       1   0.0%  98.0%        1   0.0% 0x000000011494af84
       1   0.0%  98.0%        1   0.0% 0x000000011494b2f0
       1   0.0%  98.0%        1   0.0% 0x000000011494b3dc
       1   0.0%  98.0%        1   0.0% 0x000000011494b4c4
       1   0.0%  98.1%        1   0.0% 0x000000011494cfa4
       1   0.0%  98.1%        1   0.0% 0x000000011494d20c
       1   0.0%  98.1%        1   0.0% 0x000000011494d28c
       1   0.0%  98.1%        1   0.0% 0x000000011494d2a4
       1   0.0%  98.1%        1   0.0% 0x000000011494d41c
       1   0.0%  98.1%        1   0.0% 0x000000011494d4c8
       1   0.0%  98.1%        1   0.0% 0x000000011494fb90
       1   0.0%  98.2%        1   0.0% 0x0000000115381c64
       1   0.0%  98.2%        1   0.0% 0x000000011549e77c
       1   0.0%  98.2%        1   0.0% 0x000000011549e918
       1   0.0%  98.2%        1   0.0% 0x000000011549fc14
       1   0.0%  98.2%        1   0.0% 0x000000011549ffb0
       1   0.0%  98.2%        1   0.0% 0x000000011549ffcc
       1   0.0%  98.2%        1   0.0% 0x00000001154a014c
       1   0.0%  98.3%        1   0.0% 0x00000001154a0378
       1   0.0%  98.3%        1   0.0% 0x00000001154a0888
       1   0.0%  98.3%        1   0.0% 0x00000001154a08c4
       1   0.0%  98.3%        1   0.0% 0x00000001154cc044
       1   0.0%  98.3%        1   0.0% 0x00000001154cc054
       1   0.0%  98.3%        1   0.0% 0x00000001154cc070
       1   0.0%  98.3%        1   0.0% 0x00000001154cc160
       1   0.0%  98.4%        1   0.0% 0x00000001154cc190
       1   0.0%  98.4%        1   0.0% 0x00000001154cccd0
       1   0.0%  98.4%        1   0.0% 0x00000001154ccd20
       1   0.0%  98.4%        1   0.0% 0x00000001154cce20
